question,answer,type,difficulty,link
À quel club appartient ce logo ?,FC Sheriff Tiraspol,recognize-logo,hard,/src/src/image/logo/fcsherifftiraspol.png
À quel club appartient ce logo ?,Cologne,recognize-logo,hard,/src/src/image/logo/cologne.png
À quel club appartient ce logo ?,FC Getafe,recognize-logo,hard,/src/src/image/logo/fcgetafe.png
À quel club appartient ce logo ?,Trabzonspor,recognize-logo,hard,/src/src/image/logo/trabzonspor.png
À quel club appartient ce logo ?,FC Viktoria Plzen ,recognize-logo,hard,/src/src/image/logo/fcviktoriaplzen.png
À quel club appartient ce logo ?,Stade de Reims,recognize-logo,hard,/src/src/image/logo/stadedereims.png
À quel club appartient ce logo ?,FC Zürich,recognize-logo,hard,/src/src/image/logo/fczurich.png
À quel club appartient ce logo ?,FK Sarajevo,recognize-logo,hard,/src/src/image/logo/fksarajevo.png
Quel est le nom de ce stade ?,Wembley stade de Tottenham,recognize-stadium,easy,/src/src/image/stadium/wembley.jpeg
Quel est le nom de ce stade ?,Allianz Arena stade du Bayern Munich,recognize-stadium,easy,/src/src/image/stadium/allianzarena.jpeg
Quel est le nom de ce stade ?,Santiago Bernabéu stade du Réal Madrid,recognize-stadium,easy,/src/src/image/stadium/barnabeu.jpeg
Quel est le nom de ce stade ?,Camp Nou stade du FC Barcelone,recognize-stadium,easy,/src/src/image/stadium/campnou.jpeg
Quel est le nom de ce stade ?,San Siro stade de l'Inter Milan et de l'AC Milan,recognize-stadium,easy,/src/src/image/stadium/sansiro.jpeg
Quel est le nom de ce stade ?,Vélodrome stade de l'olympique de Marseille,recognize-stadium,easy,/src/src/image/stadium/velodrome.jpeg
Quel est le nom de ce stade ?,Parc Des Princes stade du Paris Saint Germain,recognize-stadium,easy,/src/src/image/stadium/parcdesprinces.jpeg
Quel est le nom de ce stade ?,Bollaert stade du RC Lens,recognize-stadium,easy,/src/src/image/stadium/bollaert.jpeg
Quel est le nom de ce stade ?,Old Trafford stade de Manchester United,recognize-stadium,easy,/src/src/image/stadium/oldtrafford.jpeg
Quel est le nom de ce stade ?,Geoffroy Guichard stade de l'AS Saint Étienne,recognize-stadium,easy,/src/src/image/stadium/geoffroyguichard.jpeg
Quel est le nom de ce stade ?,Anfield stade de Liverpool,recognize-stadium,medium,/src/src/image/stadium/anfield.jpeg
Quel est le nom de ce stade ?,Emirates Stadium stade d'Arsenal,recognize-stadium,medium,/src/src/image/stadium/emiratesstadium.jpeg
Quel est le nom de ce stade ?,Etihad Stadium stade de Manchester City,recognize-stadium,medium,/src/src/image/stadium/etihadstadium.jpeg
Quel est le nom de ce stade ?,Allianz Stadium stade de la Juventus de Turin,recognize-stadium,medium,/src/src/image/stadium/allianzstadium.jpeg
Quel est le nom de ce stade ?,Johan Cruyff Arena stade de l'Ajax d'Amsterdam,recognize-stadium,medium,/src/src/image/stadium/johancruyff.jpeg
Quel est le nom de ce stade ?,Civitas Metropolitano stade de l'Atlético de Madrid,recognize-stadium,medium,/src/src/image/stadium/civitasmetropolitano.jpeg
Quel est le nom de ce stade ?,Groupama Stadium stade de l'olympique lyonnais,recognize-stadium,medium,/src/src/image/stadium/groupamastadium.jpeg
Quel est le nom de ce stade ?,Ibrox Stadium stade de Glasgow Rangers,recognize-stadium,medium,/src/src/image/stadium/ibroxstadium.jpeg
Quel est le nom de ce stade ?,Stamford Bridge stade de Chelsea,recognize-stadium,medium,/src/src/image/stadium/stamfordbridge.jpeg
Quel est le nom de ce stade ?,Estádio da Luz stade du Benfica,recognize-stadium,medium,/src/src/image/stadium/estadiodaluz.jpeg
Quel est le nom de ce stade ?,Stade du Dragon stade du FC Porto,recognize-stadium,hard,/src/src/image/stadium/stadedudragon.jpeg
Quel est le nom de ce stade ?,Allianz Riviera stade de l'OGC Nice,recognize-stadium,hard,/src/src/image/stadium/allianzriviera.jpeg
Quel est le nom de ce stade ?,Signal Iduna Park stade du Borussia Dortmund,recognize-stadium,hard,/src/src/image/stadium/signalidunapark.jpeg
Quel est le nom de ce stade ?,BayArena stade du Bayer Leverkusen,recognize-stadium,hard,/src/src/image/stadium/bayarena.jpeg
Quel est le nom de ce stade ?,Stadio della Roma stade de l'AS Roma et de la Lazio,recognize-stadium,hard,/src/src/image/stadium/stadiodellaroma.jpeg
Quel est le nom de ce stade ?,Roazhon Park stade du Stade Rennais,recognize-stadium,hard,/src/src/image/stadium/roazhonpark.jpeg
Quel est le nom de ce stade ?,José Alavade stade du Sporting CP,recognize-stadium,hard,/src/src/image/stadium/josealavade.jpeg
Quel est le nom de ce stade ?,Matmut Atlantique stade des Girondins de Bordeau,recognize-stadium,hard,/src/src/image/stadium/matmutatlantique.jpeg
Quel est le nom de ce stade ?,Maracaña stade de Flamengo et Fluminense,recognize-stadium,hard,/src/src/image/stadium/maracana.jpeg
Quel est le nom de ce stade ?,Charléty stade du Paris FC,recognize-stadium,hard,/src/src/image/stadium/charlety.jpeg
Quel est le nom de ce trophée ?,Coupe du monde,recognize-trophy,easy,/src/src/image/trophy/coupedumonde.jpeg
Quel est le nom de ce trophée ?,Ligue 1,recognize-trophy,easy,/src/src/image/trophy/ligue1.jpeg
Quel est le nom de ce trophée ?,Ligue des champions,recognize-trophy,easy,/src/src/image/trophy/liguedeschampions.jpeg
Quel est le nom de ce trophée ?,Europa league,recognize-trophy,easy,/src/src/image/trophy/europaleague.jpeg
Quel est le nom de ce trophée ?,Euro ,recognize-trophy,easy,/src/src/image/trophy/euro.jpeg
Quel est le nom de ce trophée ?,Coupe d'afrique des nations,recognize-trophy,easy,/src/src/image/trophy/can.jpeg
Quel est le nom de ce trophée ?,Premier league,recognize-trophy,easy,/src/src/image/trophy/premierleague.jpeg
Quel est le nom de ce trophée ?,Liga,recognize-trophy,easy,/src/src/image/trophy/liga.jpeg
Quel est le nom de ce trophée ?,Bundesliga,recognize-trophy,easy,/src/src/image/trophy/bundesliga.jpeg
Quel est le nom de ce trophée ?,Serie A,recognize-trophy,easy,/src/src/image/trophy/seriea.jpeg
Quel est le nom de ce trophée ?,Coupe de la ligue,recognize-trophy,medium,/src/src/image/trophy/coupedelaligue.jpeg
Quel est le nom de ce trophée ?,Coupe des nations,recognize-trophy,medium,/src/src/image/trophy/coupedesnations.jpeg
Quel est le nom de ce trophée ?,Copa america,recognize-trophy,medium,/src/src/image/trophy/copaamerica.jpeg
Quel est le nom de ce trophée ?,Copa del rey,recognize-trophy,medium,/src/src/image/trophy/copadelrey.jpeg
Quel est le nom de ce trophée ?,Eredivisie,recognize-trophy,medium,/src/src/image/trophy/eredivisie.jpeg
Quel est le nom de ce trophée ?,Coupe d'allemagne,recognize-trophy,hard,/src/src/image/trophy/coupedallemagne.jpeg
Quel est le nom de ce trophée ?,Conference league,recognize-trophy,hard,/src/src/image/trophy/conferenceleague.jpeg
Quel est le nom de ce trophée ?,Super lig,recognize-trophy,hard,/src/src/image/trophy/superlig.jpeg
Quel est le nom de ce trophée ?,Trophée Kopa,recognize-trophy,hard,/src/src/image/trophy/kopa.jpeg
Quel est le nom de ce trophée ?,Ligue 2,recognize-trophy,hard,/src/src/image/trophyligue2/.jpeg
Quel est le nom de ce joueur ?,Lionel Messi,recognize-player,easy,/src/src/image/player/lionelmessi.jpeg
Quel est le nom de ce joueur ?,Ronaldo Luís Nazário de Lima,recognize-player,easy,/src/src/image/player/ronaldo9.jpeg
Quel est le nom de ce joueur ?,Robert Lewandowski,recognize-player,easy,/src/src/image/player/robertlewandowski.jpeg
Quel est le nom de ce joueur ?,Eden Hazard,recognize-player,easy,/src/src/image/player/edenhazard.jpeg
Quel est le nom de ce joueur ?,Kylian Mbappé,recognize-player,easy,/src/src/image/player/kylianmbappe.jpeg
Quel est le nom de ce joueur ?,Erling Haaland,recognize-player,easy,/src/src/image/player/erlinghaaland.jpeg
Quel est le nom de ce joueur ?,Zinedine Zidane,recognize-player,easy,/src/src/image/player/zinedinezidane.jpeg
Quel est le nom de ce joueur ?,Thierry Henry,recognize-player,easy,/src/src/image/player/thierryhenry.jpeg
Quel est le nom de ce joueur ?,Antoine Griezman,recognize-player,easy,/src/src/image/player/antoinegriezman.jpeg
Quel est le nom de ce joueur ?,Cristiano Ronaldo,recognize-player,easy,/src/src/image/player/christianoronaldo.jpeg
Quel est le nom de ce joueur ?,Diego Maradona,recognize-player,easy,/src/src/image/player/diegomaradona.jpeg
Quel est le nom de ce joueur ?,"Edson Arantes do Nascimento, dit Pelé",recognize-player,easy,/src/src/image/player/pele.jpeg
Quel est le nom de ce joueur ?,Hugo Lloris,recognize-player,easy,/src/src/image/player/hugolloris.jpeg
Quel est le nom de ce joueur ?,Andres Iniesta,recognize-player,easy,/src/src/image/player/andresiniesta.jpeg
Quel est le nom de ce joueur ?,Neymar Jr.,recognize-player,easy,/src/src/image/player/neymarjr.jpeg
Quel est le nom de ce joueur ?,Didier Drogba,recognize-player,medium,/src/src/image/player/didierdrogba.jpeg
Quel est le nom de ce joueur ?,Thiago Silva,recognize-player,medium,/src/src/image/player/thiagosilva.jpeg
Quel est le nom de ce joueur ?,Toni Kroos,recognize-player,medium,/src/src/image/player/tonikroos.jpeg
Quel est le nom de ce joueur ?,Mario Balotelli,recognize-player,medium,/src/src/image/player/mariobalotelli.jpeg
Quel est le nom de ce joueur ?,Virgil van Dijk,recognize-player,medium,/src/src/image/player/virgilvandijk.jpeg
Quel est le nom de ce joueur ?,Robin van Persie,recognize-player,medium,/src/src/image/player/robinvanpersie.jpeg
Quel est le nom de ce joueur ?,Steven Gerrard,recognize-player,medium,/src/src/image/player/stevengerrard.jpeg
Quel est le nom de ce joueur ?,Yassine Bounou,recognize-player,medium,/src/src/image/player/yassinebounou.jpeg
Quel est le nom de ce joueur ?,Arjen Robben,recognize-player,medium,/src/src/image/player/arjenrobben.jpeg
Quel est le nom de ce joueur ?,Son Heung-min,recognize-player,medium,/src/src/image/player/sonheungmin.jpeg
Quel est le nom de ce joueur ?,Javier Pastore,recognize-player,medium,/src/src/image/player/javierpastore.jpeg
Quel est le nom de ce joueur ?,André-Pierre Gignac,recognize-player,medium,/src/src/image/player/andrepierregignac.jpeg
Quel est le nom de ce joueur ?,Mesut Ozïl,recognize-player,medium,/src/src/image/player/mesutozil.jpeg
Quel est le nom de ce joueur ?,David Alaba,recognize-player,medium,/src/src/image/player/davidalaba.jpeg
Quel est le nom de ce joueur ?,Nicolas Anelka,recognize-player,medium,/src/src/image/player/nicolasanelka.jpeg
Quel est le nom de ce joueur ?,George Weah,recognize-player,hard,/src/src/image/player/georgeweah.jpeg
Quel est le nom de ce joueur ?,Timothée Pembélé,recognize-player,hard,/src/src/image/player/timotheepembele.jpeg
Quel est le nom de ce joueur ?,Amine Gouiri,recognize-player,hard,/src/src/image/player/aminegouiri.jpeg
Quel est le nom de ce joueur ?,Hatem Ben Arfa,recognize-player,hard,/src/src/image/player/hatembenarfa.jpeg
Quel est le nom de ce joueur ?,Steven Nzonzi,recognize-player,hard,/src/src/image/player/stevennzonzi.jpeg
Quel est le nom de ce joueur ?,Serge Aurier,recognize-player,hard,/src/src/image/player/sergeaurier.jpeg
Quel est le nom de ce joueur ?,Bixente Lizarazu,recognize-player,hard,/src/src/image/player/bixentelizarazu.jpeg
Quel est le nom de ce joueur ?,Salvatore Sirigu,recognize-player,hard,/src/src/image/player/salvatoresirigu.jpeg
Quel est le nom de ce joueur ?,Oscar dos santos emboaba júnio dit Oscar,recognize-player,hard,/src/src/image/player/oscar.jpeg
Quel est le nom de ce joueur ?,Takefusa Kubo,recognize-player,hard,/src/src/image/player/takefusakubo.jpeg
Quel est le nom de ce joueur ?,Weston McKennie,recognize-player,hard,/src/src/image/player/westonmckennie.jpeg
Quel est le nom de ce joueur ?,Adama Traoré,recognize-player,hard,/src/src/image/player/adamatraore.jpeg
Quel est le nom de ce joueur ?,Lamine Yamal,recognize-player,hard,/src/src/image/player/lamineyamal.jpeg
Quel est le nom de ce joueur ?,Stéphane Ruffier,recognize-player,hard,/src/src/image/player/stephaneruffier.jpeg
Quel est le nom de ce joueur ?,Jean-Pierre Papin,recognize-player,hard,/src/src/image/player/jeanpierrepapin.jpeg
Quel est le nom de cet entraineur ?,Didier Deschamps,recognize-coach,easy,/src/src/image/coach/didierdeschamps.jpeg
Quel est le nom de cet entraineur ?,Pep Guardiola,recognize-coach,easy,/src/src/image/coach/pepguardiola.jpeg
Quel est le nom de cet entraineur ?,Xavi,recognize-coach,easy,/src/src/image/coach/xavi.jpeg
Quel est le nom de cet entraineur ?,Luis Enrique,recognize-coach,easy,/src/src/image/coach/luisenrique.jpeg
Quel est le nom de cet entraineur ?,Arsène Wenger,recognize-coach,easy,/src/src/image/coach/arsenewenger.jpeg
Quel est le nom de cet entraineur ?,Carlo Ancelotti,recognize-coach,easy,/src/src/image/coach/carloancelotti.jpeg
Quel est le nom de cet entraineur ?,Thomas Tuchel,recognize-coach,easy,/src/src/image/coach/thomastuchel.jpeg
Quel est le nom de cet entraineur ?,José Mourinho,recognize-coach,easy,/src/src/image/coach/josemourinho.jpeg
Quel est le nom de cet entraineur ?,Jürgen Klopp,recognize-coach,easy,/src/src/image/coach/jurgenklopp.jpeg
Quel est le nom de cet entraineur ?,Laurent Blanc,recognize-coach,easy,/src/src/image/coach/laurentblanc.jpeg
Quel est le nom de cet entraineur ?,Joachim Löw,recognize-coach,medium,/src/src/image/coach/joachimlow.jpeg
Quel est le nom de cet entraineur ?,Antoine Kombouaré,recognize-coach,medium,/src/src/image/coach/antoinekombouare.jpeg
Quel est le nom de cet entraineur ?,Mauricio Pochettino,recognize-coach,medium,/src/src/image/coach/mauriciopochettino.jpg
Quel est le nom de cet entraineur ?,Diego Simeone,recognize-coach,medium,/src/src/image/coach/diegosimeone.jpg
Quel est le nom de cet entraineur ?,Sir Alex Ferguson,recognize-coach,medium,/src/src/image/coach/siralexferguson.jpeg
Quel est le nom de cet entraineur ?,Simone Inzaghi,recognize-coach,hard,/src/src/image/coach/simeoneinzaghi.jpeg
Quel est le nom de cet entraineur ?,Franck Haise,recognize-coach,hard,/src/src/image/coach/franckhaise.jpeg
Quel est le nom de cet entraineur ?,Stefano Pioli,recognize-coach,hard,/src/src/image/coach/stefanopioli.jpeg
Quel est le nom de cet entraineur ?,Massimiliano Allegri,recognize-coach,hard,/src/src/image/coach/massimilianoallegri.jpeg
Quel est le nom de cet entraineur ?,Mikel Arteta,recognize-coach,hard,/src/src/image/coach/mikelarteta.jpeg
Combien le PSG a remporté de Ligue 1 ?,11,club-trophy,easy,
Combien le Réal de Madrid a remporté de ligue des Champions ?,14,club-trophy,easy,
Combien l'Allemagne a remporté de coupe du monde ?,4,club-trophy,easy,
Combien l'Espagne a remporté d'Euro ?,3,club-trophy,easy,
Combien l'Atlético de Madird a remporté de ligue des Champions ?,0,club-trophy,easy,
Combien la France a remporté d'Euro ?,2,club-trophy,easy,
Combien le Danemark a remporté d'Euro ?,1,club-trophy,easy,
Combien la Suède a remporté d'Euro ?,0,club-trophy,easy,
Combien Marseille a remporté de ligue des Champions ?,1,club-trophy,easy,
Combien Benfica a remporté de ligue des Champions ?,2,club-trophy,easy,
Combien Saint Étienne a remporté de Ligue 1 ?,10,club-trophy,medium,
Combien l'Algérie a remporté de CAN ?,2,club-trophy,medium,
Combien l'Argentine a remporté de Copa America ?,15,club-trophy,medium,
Combien la Grèce a remporté d'Euro ?,1,club-trophy,medium,
Combien Séville a remporté d'Europa League ?,7,club-trophy,medium,
Combien le Bayern Munich a remporté de Bundesliga ?,33,club-trophy,medium,
Combien l'AC Milan a remporté de ligue des Champions ? ,7,club-trophy,medium,
Combien l'Inter de Milan a remporté de ligue des Champions ?,3,club-trophy,medium,
Combien la Brésil a remporté de Copa America ?,9,club-trophy,medium,
Combien Lyon a remporté de Ligue 1 ?,7,club-trophy,medium,
Combien Bordeaux a remporté de Ligue 1 ?,6,club-trophy,hard,
Combien Nantes a remporté de coupe de France ?,4,club-trophy,hard,
Combien Lyon a remporté de coupe de France ?,5,club-trophy,hard,
Combien Marseille a remporté de coupe de la ligue ?,3,club-trophy,hard,
Combien le FC Barcelone a remporté de coupe du monde des clubs ?,3,club-trophy,hard,
Combien Galatasaray a remporté de Super Lig?,23,club-trophy,hard,
Combien le Feyenoord Rotterdam a remporté d'Eredivise ?,16,club-trophy,hard,
Combien l'Atlético de Madird a remporté d'Europa Leaugue ?,3,club-trophy,hard,
Combien le Réal de Madrid a remporté de liga ?,35,club-trophy,hard,
Combien la Juventus a remporté de série A ?,36,club-trophy,hard,
Combien de saisons Achraf Hakimi est resté à l'Inter de Milan ?,1,year-club,easy,
Combien de saisons Marco Veratti est resté au PSG ?,10,year-club,easy,
Combien de saisons Cristiano Ronaldo est resté à la Juventus ?,3,year-club,easy,
Combien de saisons Cristiano Ronaldo est resté au Réal Madrid ?,9,year-club,easy,
Combien de saisons Messi est resté au FC Barcelone ?,21,year-club,easy,
Combien de saisons Francesco Totti est resté à l'AS Roma?,19,year-club,medium,
Combien de saisons Karim Benzema est resté au Réal Madrid ?,13,year-club,medium,
Combien de saisons Iker Casillas est resté au Réal Madrid ?,25,year-club,medium,
Combien de saisons Didier Drogba est resté à Chelsea ?,8,year-club,medium,
Combien de saisons Steve Mandanda est resté l'Olympique de Marseille ?,10,year-club,medium,
Combien de saisons Gianluigi Buffon est resté à la Juventus ?,17,year-club,hard,
Combien de saisons Sergio Aguero est resté à Manchest City?,10,year-club,hard,
Combien de saisons Thierry Henry est resté à Arsenal ?,8,year-club,hard,
Combien de saisons Raphaël Varanne est resté au Réal Madrid ?,10,year-club,hard,
Combien de saisons Hugo Lloris est resté à Lyon ?,4,year-club,hard,
Citer le plus de joueurs ayant joués au PSG,,the-more,,
Citer le plus de joueurs ayant joués au Réal de Madrid,,the-more,,
Citer le plus de joueurs ayant joués au FC Barcelone,,the-more,,
Citer le plus de joueurs ayant joués au Stade Rennais,,the-more,,
Citer le plus de joueurs ayant joués à la Juventus,,the-more,,
Citer le plus de joueurs ayant remportés la ligue des champions,,the-more,,
Citer le plus de joueurs ayant remportés la coupe du monde,,the-more,,
Citer le plus de joueurs ayant remportés la ligue 1,,the-more,,
Citer le plus de joueurs ayant remportés la liga,,the-more,,
Citer le plus de joueurs ayant remportés le ballon d'or,,the-more,,
Citer le plus de joueurs ayant joués au LOSC,,the-more,,
Citer le plus de joueurs ayant joués à Chelsea,,the-more,,
Citer le plus de joueurs ayant joués à l'AC Milan,,the-more,,
Citer le plus de joueurs ayant joués au Bayern Munich,,the-more,,
Citer le plus de joueurs ayant joués en Saudi Pro Leaugue,,the-more,,
Citer le plus de joueurs ayant joués en MLS ,,the-more,,
Citer le plus de joueurs ayant été transféré pour plus de 100M€,,the-more,,
Citer le plus de joueurs ayant joués à Manchest United,,the-more,,
Qui est le président du PSG ?,Nasser Al-Khelaïfi,club-owner,easy,
Qui est le président de l'olympique de Marseille ?,Pablo Longoria,club-owner,easy,
Qui est le président du Réal Madrid ?,Florentino Péres,club-owner,easy,
Qui est le président du FC Barcelone ?,Joan Laporta,club-owner,easy,
Qui est le président de l'Inter Miami ?,David Beckham,club-owner,easy,
Qui est le président du Real Valladoid ?,Ronaldo Nazario,club-owner,easy,
Qui est le président de Newcastle ?,Mohammed Ben Salmane,club-owner,medium,
Qui est le président de l'olympique Lyonnais ?,John Textor ,club-owner,medium,
Qui est le président de Manchester City ?,Mansour bin Zayed Al Nahyan,club-owner,medium,
Qui est le président le stade Rennais ?,La famille Pinault,club-owner,medium,
Qui est le président du FC Andorre ?,Gerard Piqué,club-owner,medium,
Qui est le président de Newcastle ?,Mohammed Ben Salmane,club-owner,medium,
Qui est le président du Bayern Munich ?,Jan-Christian Dreesen,club-owner,hard,
Qui est le président du Borussia Dortmund ?,Hans-Joachim Watzke,club-owner,hard,
Qui est le président d'Arsenal ?,Enos Stanley Kroenke,club-owner,hard,
Qui est le président de Chelsea ?,Todd Boehly,club-owner,hard,
Qui est le président de Manchester United ?,Jim Ratcliffe,club-owner,hard,
Qui est le président de Liverpool ?,Tom Werner,club-owner,hard,
Qui est le président de l'AC Milan ?,Paolo Scaroni,club-owner,hard,
Qui est le président de l'Inter de Milan ?,Steven Zhang,club-owner,hard,
Qui est le président de la Juventus ?,Gianluca Ferrero,club-owner,hard,
Combien de clubs a fait Francesco Totti en temps que pro ? ( prêt inclus ),1,club-number,easy,
Combien de clubs a fait Eden Hazard en temps que pro ? ( prêt inclus ),3,club-number,easy,
Combien de clubs a fait Andres Iniesta en temps que pro ? ( prêt inclus ),3,club-number,easy,
Combien de clubs a fait Cristiano Ronaldo en temps que pro ? ( prêt inclus ),5,club-number,easy,
Combien de clubs a fait Lionel Messi en temps que pro ? ( prêt inclus ),3,club-number,easy,
Combien de clubs a fait Antoine Griezmann en temps que pro ? ( prêt inclus ),3,club-number,easy,
Combien de clubs a fait Thomas Müller en temps que pro ? ( prêt inclus ),1,club-number,easy,
Combien de clubs a fait Paul Pogba en temps que pro ? ( prêt inclus ),2,club-number,easy,
Combien de clubs a fait Raphael Varanne en temps que pro ? ( prêt inclus ),3,club-number,easy,
Combien de clubs a fait Sergio Ramos en temps que pro ? ( prêt inclus ),3,club-number,easy,
Combien de clubs a fait Marcelo Vieira da Silva Júnior en temps que pro ? ( prêt inclus ),3,club-number,medium,
Combien de clubs a fait Romelu Lukaku en temps que pro ? ( prêt inclus ),7,club-number,medium,
Combien de clubs a fait Zlatan Ibrahimovic en temps que pro? ( prêt inclus ),9,club-number,medium,
Combien de clubs a fait Olivier Giroud en temps que pro ? ( prêt inclus ),7,club-number,medium,
Combien de clubs a fait Virgil van Dijk en temps que pro ? ( prêt inclus ),4,club-number,medium,
Combien de clubs a fait Kaylor Navas en temps que pro ? ( prêt inclus ),6,club-number,medium,
Combien de clubs a fait Teji Savanier en temps que pro ? ( prêt inclus ),3,club-number,medium,
Combien de clubs a fait Michel Platini en temps que pro ? ( prêt inclus ),3,club-number,medium,
Combien de clubs a fait Ronaldo Nazario en temps que pro ? ( prêt inclus ),7,club-number,medium,
Combien de clubs a fait Adama Traoré en temps que pro ? ( prêt inclus ),5,club-number,medium,
Combien de clubs a fait Blaise Matuidi en temps que pro ? ( prêt inclus ),5,club-number,medium,
Combien de clubs a fait Hatem Ben Arfa en temps que pro ? ( prêt inclus ),10,club-number,hard,
Combien de clubs a fait Phillipe Coutinho en temps que pro ? ( prêt inclus ),8,club-number,hard,
Combien de clubs a fait Franck Ribéry en temps que pro ? ( prêt inclus ),9,club-number,hard,
Combien de clubs a fait Alphonse Aréola en temps que pro ? ( prêt inclus ),7,club-number,hard,
Combien de clubs a fait Bafétimbi Gomis en temps que pro ? ( prêt inclus ),8,club-number,hard,
Combien de clubs a fait Didier Drogba en temps que pro ? ( prêt inclus ),8,club-number,hard,
Combien de clubs a fait Flaurient Thauvin en temps que pro ? ( prêt inclus ),7,club-number,hard,
Combien de clubs a fait Mario Baloteli en temps que pro ? ( prêt inclus ),11,club-number,hard,
Combien de clubs a fait Sadio Mané en temps que pro ? ( prêt inclus ),7,club-number,hard,
Combien de clubs a fait Adil Rami en temps que pro ? ( prêt inclus ),10,club-number,hard,
Donner la valeur en euro du transfert de Kylian Mbappé de l'AS Monaco vers le PSG ,180 millions,player-value,easy,
Donner la valeur en euro du transfert de Neymar Jr du FC Barcelone vers le PSG,222 millions,player-value,easy,
Donner la valeur en euro du transfert de Lionel Messi du FC Barcelone vers le PSG,Gratuit,player-value,easy,
Donner la valeur en euro du transfert de Antoine Griezmann de l'Atlético de Madrid vers le FC Barcelone,120 millions,player-value,easy,
Donner la valeur en euro du transfert de Erling Haaland du Borussia Dortmund vers Manchester City,60 millions,player-value,easy,
Donner la valeur en euro du transfert de Cristiano Ronaldo du Réal Madrid vers la Juventus,117 millions,player-value,easy,
Donner la valeur en euro du transfert de Paul Pogba de la Juventus vers Manchester United,105 millions,player-value,easy,
Donner la valeur en euro du premier transfert de Paul Pogba de la Manchester United vers Juventus ,Gratuit,player-value,easy,
Donner la valeur en euro du transfert de Neymar Jr du PSG vers Al-Hilal,90 millions,player-value,easy,
